Timestamp,Status V,Latitude,Latitude Direction,Longitude,Longitude Direction,Speed Over Ground,True Course,Datestamp,Magnetic Variation,Magnetic Variation Direction
213759.00,A,4529.72445,N,07334.66009,W,2.020,,281221,,
213800.00,A,4529.72561,N,07334.65955,W,2.633,,281221,,
213801.00,A,4529.72626,N,07334.65838,W,2.870,39.82,281221,,
213802.00,A,4529.72720,N,07334.65784,W,2.515,,281221,,
213803.00,V,,,,,,,281221,,
213804.00,A,4529.72953,N,07334.65873,W,2.055,,281221,,
213805.00,A,4529.72992,N,07334.65762,W,1.755,,281221,,
213806.00,A,4529.73075,N,07334.65752,W,2.707,22.53,281221,,
213807.00,A,4529.73113,N,07334.65677,W,2.630,4.69,281221,,
213808.00,A,4529.73166,N,07334.65640,W,2.205,0.05,281221,,
213809.00,A,4529.73209,N,07334.65513,W,2.559,9.37,281221,,
213810.00,A,4529.73209,N,07334.65321,W,2.266,20.49,281221,,
213811.00,V,,,,,,,281221,,
213812.00,A,4529.73333,N,07334.65185,W,2.915,22.82,281221,,
213813.00,A,4529.73372,N,07334.65009,W,2.874,32.07,281221,,
213814.00,A,4529.73391,N,07334.64862,W,2.374,,281221,,
213815.00,A,4529.73425,N,07334.64687,W,2.896,42.50,281221,,
213816.00,A,4529.73465,N,07334.64594,W,2.026,,281221,,
213817.00,A,4529.73513,N,07334.64491,W,2.445,,281221,,
213818.00,A,4529.73559,N,07334.64369,W,2.288,,281221,,
213819.00,A,4529.73622,N,07334.64289,W,2.560,31.54,281221,,
213820.00,A,4529.73666,N,07334.64221,W,2.478,19.01,281221,,
213821.00,A,4529.73729,N,07334.64186,W,2.649,5.87,281221,,
213822.00,A,4529.73722,N,07334.63972,W,2.327,,281221,,
213823.00,A,4529.73700,N,07334.63792,W,1.714,,281221,,
213824.00,A,4529.73716,N,07334.63679,W,2.317,356.55,281221,,
213825.00,A,4529.73780,N,07334.63566,W,2.675,7.11,281221,,
213826.00,A,4529.73790,N,07334.63364,W,2.170,,281221,,
213827.00,A,4529.73760,N,07334.63144,W,2.096,4.67,281221,,
213828.00,A,4529.73773,N,07334.62919,W,2.822,352.66,281221,,
213829.00,A,4529.73776,N,07334.62743,W,2.661,353.85,281221,,
213830.00,A,4529.73771,N,07334.62537,W,2.724,354.45,281221,,
213831.00,A,4529.73743,N,07334.62270,W,2.694,1.30,281221,,
213832.00,A,4529.73782,N,07334.62212,W,2.595,347.00,281221,,
213833.00,A,4529.73820,N,07334.62099,W,2.037,353.92,281221,,
213834.00,A,4529.73919,N,07334.62088,W,2.340,7.72,281221,,
213835.00,A,4529.74027,N,07334.62107,W,1.843,12.73,281221,,
213836.00,A,4529.74199,N,07334.62234,W,2.502,38.48,281221,,
213837.00,A,4529.74310,N,07334.62168,W,2.857,37.72,281221,,
213838.00,A,4529.74437,N,07334.62172,W,2.720,31.57,281221,,
213839.00,A,4529.74572,N,07334.62212,W,2.788,19.03,281221,,
213840.00,A,4529.74694,N,07334.62227,W,2.402,19.15,281221,,
213841.00,A,4529.74787,N,07334.62242,W,1.962,20.20,281221,,
213842.00,A,4529.74894,N,07334.62242,W,1.851,22.14,281221,,
213843.00,A,4529.74958,N,07334.62206,W,1.836,16.61,281221,,
213844.00,A,4529.75032,N,07334.62194,W,2.077,9.41,281221,,
213845.00,A,4529.75111,N,07334.62169,W,1.926,6.70,281221,,
213846.00,A,4529.75134,N,07334.62079,W,1.944,356.71,281221,,
